park,hike,geography,length,difficulty,features
"
            Sterling Forest          ",Sterling Lake Loop,"41.1989, -74.25684","
            4.2 miles          ","
            Easy to Moderate          ","
            Historic feature, Views          "
"
            Sterling Forest          ",Sterling Ridge Trail/Fire Tower/Sterling Lake Trail Loop from Route 17A,"41.230616, -74.260762","
            7.0 miles          ","
            Moderate          ","
            Views          "
"
            Sterling Forest          ",Red Back Loop Trail,"41.17604, -74.226778","
            6.5 miles          ","
            Moderate to Strenuous          ","
            Historic feature          "
"
            Sterling Forest          ",Sterling Forest Fire Tower and Iron Mines,"41.1989, -74.25684","
            4.3 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Sterling Forest          ",Bare Rock Trail to Greenwood Lake Overlook,"41.1989, -74.25684","
            7.5 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Sterling Forest          ",Townsend Trail/Long Meadow Extension Loop,"41.260777, -74.17627","
            3.8 miles          ","
            Easy to Moderate          ","
            Views          "
"
            Long Distance Trails          ","Long Path and Shawangunk Ridge Trail (Wurtsboro, N.Y.)","41.576966, -74.465316","
            10.0 miles          ","
            Strenuous          ","
            Views          "
"
            Shawangunk Mountains          ",Red Trail/Shawangunk Ridge Trail Loop,"41.646293, -74.401399","
            3.4 miles          ","
            Moderate          ","
            Views          "
"
            Schunemunk Mountain          ","Schunemunk Mountain Loop from Taylor Road via Sweet Clover, Jessup and Dark Hollow Trails","41.407553, -74.081725","
            6.5 miles          ","
            Strenuous          ","
            Public Transportation, Views, Waterfall          "
"
            Schunemunk Mountain          ","Schunemunk Mountain Loop from Taylor Road via Jessup, Western Ridge and Sweet Clover Trails","41.407553, -74.081725","
            7.5 miles          ","
            Strenuous          ","
            Public Transportation, Views, Waterfall          "
"
            Schunemunk Mountain          ",Long Path on Schunemunk Mountain,"41.360641, -74.108126","
            7.0 miles          ","
            Strenuous          ","
            Views          "
"
            Other NY          ",Shaupeneak Ridge Cooperative Recreation Area,"41.840856, -73.991375","
            5.6 miles          ","
            Strenuous          ","
            Views, Waterfall          "
"
            Schunemunk Mountain          ","Schunemunk Mountain Loop from Taylor Road via Jessup, Western Ridge and Dark Hollow Trails","41.407553, -74.081725","
            8.2 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
"
            Schunemunk Mountain          ","Schunemunk Mountain Loop from Taylor Road via Dark Hollow, Jessup and Western Ridge Trails","41.407553, -74.081725","
            9.0 miles          ","
            Strenuous          ","
            Public Transportation, Views, Waterfall          "
"
            Schunemunk Mountain          ",Schunemunk Mountain Loop from Otterkill Road ,"41.425755, -74.101685","
            8.5 miles          ","
            Strenuous          ","
            Views          "
"
            Westchester County          ",Saxon Woods Park Southern Loop,"40.986235, -73.74538","
            2.7 miles          ","
            Easy          ","
            Public Transportation          "
"
            Shawangunk Mountains          ",Ice Caves and Verkeerderkill Falls Trail Hike,"41.669963, -74.361649","
            7.4 miles          ","
            Moderate to Strenuous          ","
            Fees, Views, Waterfall          "
"
            Westchester County          ",Rockwood Hall at Sleepy Hollow,"41.111248, -73.861897","
            2.1 miles          ","
            Easy          ","
            Historic feature, Views          "
"
            Westchester County          ",Pocantico Hills Loop Walk,"41.090604, -73.857391","
            5.7 miles          ","
            Easy          ","
            Horses allowed, Views          "
"
            Westchester County          ",Old Croton Aqueduct from Tarrytown to Yonkers,"41.066798, -73.860312","
            9.0 miles          ","
            Easy          ","
            Historic feature, Public Transportation, Views          "
"
            Long Island          ",Rocky Point Pine Barrens State Forest,"40.908134, -72.921539","
            10.5 miles          ","
            Easy to Moderate          ","
            Historic feature          "
"
            Westchester County          ",Old Croton Aqueduct from Tarrytown to Ossining,"41.073593, -73.858849","
            9.0 miles          ","
            Easy to Moderate          ","
            Bikes allowed, Historic feature, Public Transportation, Views          "
"
            Shawangunk Mountains          ","Sam's Point, Indian Rock, High Point and Verkeerder Kill Falls Loop","41.669963, -74.361649","
            10.0 miles          ","
            Moderate to Strenuous          ","
            Fees, Views          "
"
            Rockland County          ",Long Path/Hook Mountain Bike Path Loop to Summit of Hook Mountain,"41.120746, -73.911552","
            6.0 miles          ","
            Moderate          ","
            Views          "
"
            Westchester County          ","Mountain Lakes Park (North Salem, N.Y.)","41.311023, -73.562357","
            5.5 miles          ","
            Moderate          ","
            Views, Woods          "
"
            Westchester County          ",Old Croton Aqueduct from Ossining to Quaker Bridge,"41.163867, -73.863903","
            5.5 miles          ","
            Easy to Moderate          ","
            Bikes allowed, Historic feature, Public Transportation          "
"
            Rockland County          ",Mountainview Nature Park in West Nyack,"41.100139, -73.948841","
            2.5 miles          ","
            Moderate          ","
            Views          "
"
            Shawangunk Mountains          ","Dickie Barre, Peters Kill and Awosting Falls Loop","41.73611, -74.200249","
            7.8 miles          ","
            Strenuous          ","
            Historic feature, Fees, Views, Waterfall          "
"
            Shawangunk Mountains          ",North Lookout at Mohonk Preserve,"41.795208, -74.128532","
            6.5 miles          ","
            Moderate          ","
            Fees, Views          "
"
            Shawangunk Mountains          ",Spring Farm to North Lookout at Mohonk Preserve,"41.795208, -74.128532","
            8.0 miles          ","
            Easy to Moderate          ","
            Historic feature, Fees, Views          "
"
            Shawangunk Mountains          ",Spring Farm to Mohonk Mountain House,"41.795208, -74.128532","
            9.0 miles          ","
            Moderate          ","
            Fees, Views          "
"
            Shawangunk Mountains          ",Millbrook Mountain via Millbrook Ridge Trail,"41.73611, -74.200249","
            6.5 miles          ","
            Moderate          ","
            Fees, Views          "
"
            Shawangunk Mountains          ",Old Minnewaska Trail and Undivided Lot Trail,"41.744644, -74.197265","
            7.5 miles          ","
            Moderate to Strenuous          ","
            Fees, Swimming, Views          "
"
            Shawangunk Mountains          ",Northeast Crags/Bonticou Crag Loop from Spring Farm,"41.795208, -74.128532","
            7.0 miles          ","
            Moderate          ","
            Fees, Views          "
"
            Shawangunk Mountains          ",Bonticou Crag,"41.795208, -74.128532","
            3.0 miles          ","
            Strenuous          ","
            Fees, Views          "
"
            Shawangunk Mountains          ",Undercliff/Overcliff Carriage Roads Loop,"41.73611, -74.200249","
            5.0 miles          ","
            Easy          ","
            Bikes allowed, Fees, Views          "
"
            Shawangunk Mountains          ",Mossy Glen/Rainbow Falls/Castle Point/Hamilton Point Loop,"41.734734, -74.244099","
            10.0 miles          ","
            Moderate to Strenuous          ","
            Fees, Views, Waterfall          "
"
            Shawangunk Mountains          ",Beacon Hill and Lake Minnewaska Easy Loop,"41.729, -74.2371","
            3.0 miles          ","
            Easy to Moderate          ","
            Fees, Swimming, Views          "
"
            Shawangunk Mountains          ",Gertrude's Nose Loop/Millbrook Mountain,"41.729, -74.2371","
            7.0 miles          ","
            Moderate to Strenuous          ","
            Fees, Swimming, Views          "
"
            Shawangunk Mountains          ",Castle Point Carriage Road/Lake Awosting Carriage Road/Upper Awosting Carriage Road Loop,"41.729, -74.237","
            8.5 miles          ","
            Moderate          ","
            Fees, Swimming, Views          "
"
            Shawangunk Mountains          ",Mossy Glen/Jenny Lane/Wawarsing Turnpike Loop,"41.734734, -74.244099","
            5.0 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Shawangunk Mountains          ","Short and Scenic Loop Hike on Bullwheel, High Peters Kill and Red Trails","41.738551, -74.218391","
            2.0 miles          ","
            Moderate          ","
            Historic feature, Fees, Waterfall          "
"
            Shawangunk Mountains          ",Mossy Glen/Blueberry Run/Castle Point Carriage Road Loop,"41.734734, -74.244099","
            8.7 miles          ","
            Moderate          ","
            Fees, Swimming, Views, Waterfall          "
"
            Shawangunk Mountains          ",Mossy Glen/Blueberry Run/Rainbow Falls/Hamilton Point Loop,"41.734734, -74.244099","
            9.1 miles          ","
            Moderate          ","
            Fees, Swimming, Views          "
"
            Westchester County          ",Along Long Island Sound in Marshlands Conservancy,"40.955971, -73.703262","
            1.0 miles          ","
            Easy          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Manitou Point Preserve,"41.337955, -73.958381","
            3.1 miles          ","
            Easy to Moderate          ","
            Public Transportation, Views          "
"
            Rockland County          ",Long Path/Old Erie Railroad Bed Loop (Piermont to Nyack),"41.040197, -73.915779","
            10.0 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views          "
"
            Westchester County          ",Koegel Park via the North County Trailway ,"41.348851, -73.760233","
            2.9 miles          ","
            Easy          ","
            Woods          "
"
            Rockland County          ",Kennedy Dells County Park Loop Hike,"41.169174, -73.989517","
            2.4 miles          ","
            Easy          ","
            Views, Waterfall          "
"
            East Hudson Highlands          ",Manitoga to Appalachian Trail Circuit,"41.348482, -73.952837","
            4.6 miles          ","
            Moderate          ","
            Public Transportation, Views          "
"
            Other NY          ",Hang Glider Overlook and High Point Overlook via the Long Path,"42.666399, -74.030366","
            4.5 miles          ","
            Easy          ","
            Views, Woods          "
"
            Westchester County          ",Hunter Brook Linear Park,"41.276968, -73.845592","
            2.9 miles          ","
            Easy          ","
            Woods          "
"
            Westchester County          ",Westchester County Sanctuary Ramble,"41.283644, -73.67216","
            7.6 miles          ","
            Moderate          ","
            Woods          "
"
            Other NY          ",Cliff Edge Overlook and Indian Ladder via the Long Path and Escarpment Trails,"42.638692, -74.01509","
            5.7 miles          ","
            Easy          ","
            Historic feature, Views, Waterfall, Woods          "
"
            East Hudson Highlands          ",Sugarloaf Hill and Osborn Loop Trail,"41.370278, -73.945","
            8.2 miles          ","
            Moderate          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Undercliff/Brook/Cornish Trail Loop from Cold Spring station,"41.414781, -73.957944","
            6.0 miles          ","
            Strenuous          ","
            Historic feature, Public Transportation, Views          "
"
            East Hudson Highlands          ",Bull Hill (Mt. Taurus) via Lone Star/Nelsonville/Washburn/Undercliff Trails Loop,"41.434633, -73.93654","
            5.8 miles          ","
            Strenuous          ","
            Views          "
"
            East Hudson Highlands          ",Fishkill Ridge Conservation Area from Pocket Road,"41.496862, -73.949237","
            6.8 miles          ","
            Moderate to Strenuous          ","
            Views, Waterfall          "
"
            East Hudson Highlands          ",Arden Point and Glenclyffe,"41.380049, -73.94699","
            3.7 miles          ","
            Easy          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Bull Hill (Mt. Taurus) via Washburn/Notch/Brook/Cornish Trail Loop,"41.426591, -73.96539","
            4.8 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",South Beacon Mountain Firetower and Scofield Ridge,"41.493547, -73.959854","
            8.0 miles          ","
            Strenuous          ","
            Historic feature, Public Transportation, Views          "
"
            East Hudson Highlands          ",Camp Smith Trail,"41.301419, -73.951288","
            4.3 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Nelsonville/Notch/Breakneck Ridge Trail Loop,"41.424397, -73.949215","
            7.0 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Appalachian Trail /Osborn Loop Trail from Route 9,"41.353039, -73.924491","
            6.0 miles          ","
            Moderate          ","
            Views          "
"
            East Hudson Highlands          ",North and South Redoubts,"41.385575, -73.930362","
            2.7 miles          ","
            Moderate          ","
            Historic feature, Public Transportation, Views          "
"
            East Hudson Highlands          ",Sugarloaf Mountain and Breakneck Ridge Trail,"41.448177, -73.980626","
            6.0 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Breakneck Ridge Loop,"41.443295, -73.977845","
            3.3 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
"
            East Hudson Highlands          ",Sugarloaf Hill from Route 9D,"41.369793, -73.945341","
            3.0 miles          ","
            Moderate          ","
            Views          "
"
            Storm King and Black Rock Forest          ",Family Friendly Highlands Quest Trail at Hudson Highlands Nature Museum,"41.42207, -74.03458","
            1.8 miles          ","
            Easy to Moderate          ","
            Historic feature, Views          "
"
            Storm King and Black Rock Forest          ",Family Friendly Field Quest Trail at Hudson Highlands Nature Museum,"41.42207, -74.03458","
            0.5 miles          ","
            Easy          ","
            Accessible, Historic feature, Views          "
"
            Storm King and Black Rock Forest          ",Family Friendly Pond Quest Trail at Hudson Highlands Nature Museum,"41.42207, -74.03458","
            0.5 miles          ","
            Easy          ","
            Accessible, Views          "
"
            Westchester County          ",Hudson Highlands Gateway Park Loop,"41.313665, -73.924044","
            4.3 miles          ","
            Moderate          ","
            Views          "
"
            Rockland County          ",Long Path/Bike Path Loop from Landing Road,"41.144342, -73.909621","
            6.0 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Storm King and Black Rock Forest          ",Family Friendly Woodland Quest Trail at Hudson Highlands Nature Center,"41.42207, -74.03458","
            1.0 miles          ","
            Moderate          ","
            Views          "
"
            Palisades          ",High Tor,"41.176922, -73.961378","
            2.3 miles          ","
            Moderate          ","
            Views          "
"
            New York City          ",High Line from the WTC Site via The Esplanade & Hudson River Park,"40.73947, -74.008327","
            4.8 miles          ","
            Easy to Moderate          ","
            Accessible, Historic feature, Public Transportation, Views          "
"
            Shawangunk Mountains          ",Lenape Ridge/Minisink Trail Loop,"41.358297, -74.677262","
            5.0 miles          ","
            Moderate          ","
            Public Transportation, Views          "
"
            Long Island          ",Hither Hills and Hither Woods Loop,"41.01394, -72.006879","
            11.3 miles          ","
            Moderate          ","
            Historic feature, Views, Woods          "
"
            Harriman-Bear Mountain State Parks          ",Raccoon Brook Hills Trail/Pine Meadow Lake/Diamond Mountain Loop,"41.173916, -74.168658","
            7.2 miles          ","
            Moderate to Strenuous          ","
            Public Transportation, Views, Waterfall          "
"
            Harriman-Bear Mountain State Parks          ",Lemon Squeezer / Island Pond Loop,"41.264792, -74.15426","
            7.5 miles          ","
            Moderate to Strenuous          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Timp-Torne/Dunderberg Spiral Railway/R-D Trail Short Loop from Route 9W,"41.281193, -73.962922","
            3.9 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Dater Mountain Nature Park and Harriman State Park,"41.172414, -74.175755","
            6.0 miles          ","
            Easy to Moderate          ","
            Public Transportation, Views, Waterfall          "
"
            Harriman-Bear Mountain State Parks          ",Bald Mountain/Doodletown Loop from Route 9W,"41.300786, -73.985924","
            5.0 miles          ","
            Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Diamond Mountain/Stony Brook Loop,"41.173916, -74.168658","
            6.3 miles          ","
            Moderate          ","
            Historic feature, Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Stockbridge Mountain/Nawahunta Fire Road Loop from Silvermine Picnic Area,"41.295607, -74.05961","
            4.7 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Silvermine Lake Loop,"41.295607, -74.05961","
            3.8 miles          ","
            Moderate          ","
            Historic feature, Views, Woods          "
"
            Harriman-Bear Mountain State Parks          ",Panther Mountain/Lake Wanoksink/Pine Meadow Lake Loop from Ramapo Equestrian Center,"41.174788, -74.08526","
            9.3 miles          ","
            Moderate to Strenuous          ","
            Views, Waterfall          "
"
            Harriman-Bear Mountain State Parks          ",Iron Mines Loop #2 (Southwest) in Harriman-Bear Mountain State Parks,"41.234516, -74.148972","
            8.5 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Circular Hike Around Bear Mountain,"41.297598, -74.027274","
            10.0 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Bear Mountain Loop via Appalachian Trail and Major Welch Trail,"41.312661, -73.988972","
            4.0 miles          ","
            Strenuous          ","
            Fees, Views          "
"
            Harriman-Bear Mountain State Parks          ",Brooks Lake Loop,"41.330178, -73.992047","
            1.0 miles          ","
            Easy          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Bear Mountain Summit Loop,"41.311612, -74.007235","
            1.3 miles          ","
            Easy to Moderate          ","
            Accessible, Historic feature, Views, Woods          "
"
            Harriman-Bear Mountain State Parks          ",Breakneck Mountain Loop from Diltzes Lane,"41.185126, -74.073896","
            6.9 miles          ","
            Moderate          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ","Red Cross, Beech Trail and Long Path Loop from Lake Skannatati ","41.241997, -74.102354","
            8.4 miles          ","
            Moderate          ","
            Views, Waterfall          "
"
            Harriman-Bear Mountain State Parks          ",Parker Cabin/Black Rock Mountain Loop from Route 106,"41.234516, -74.148972","
            4.9 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Claudius Smith Den/Parker Cabin Mountain Loop,"41.194208, -74.18446","
            8.5 miles          ","
            Moderate to Strenuous          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Long Path to Long Mountain Summit in Harriman State Park,"41.315548, -74.05004","
            2.0 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Suffern-Bear Mountain Trail/Pingyp,"41.297598, -74.027274","
            7.5 miles          ","
            Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Lake Sebago and Stony Brook in Harriman State Park,"41.179887, -74.163916","
            5.1 miles          ","
            Easy to Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Goshen and Stevens Mountains,"41.274686, -74.08966","
            7.0 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Doodletown Bridle Path,"41.304125, -74.015924","
            5.3 miles          ","
            Easy to Moderate          ","
            Historic feature          "
"
            Harriman-Bear Mountain State Parks          ",West Mountain (Timp-Torne/A.T. and Beechy Bottom Road) Loop from Anthony Wayne Recreation Area,"41.297598, -74.027274","
            5.0 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ","Suffern to Sloatsburg via S-BM, Kakiat and Pine Meadow Trails","41.117488, -74.155373","
            9.2 miles          ","
            Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Almost Perpendicular/Claudius Smith Den Loop,"41.179887, -74.163916","
            4.7 miles          ","
            Moderate to Strenuous          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Popolopen Gorge/Popolopen Torne Loop,"41.324539, -73.988736","
            4.5 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",West Mountain Loop from Anthony Wayne Recreation Area,"41.288905, -74.02333","
            6.2 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Iron Mines Loop #3 (Northwest/Lemon Squeezer),"41.274686, -74.08966","
            7.0 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Claudius Smith Rock Loop from Tuxedo,"41.194208, -74.18446","
            6.2 miles          ","
            Moderate to Strenuous          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Queensboro and Turkey Hill Lakes Loop from Anthony Wayne Recreation Area,"41.297598, -74.027274","
            4.6 miles          ","
            Moderate          ","
            Historic feature, Views, Woods          "
"
            Harriman-Bear Mountain State Parks          ",Iron Mines Short Loop,"41.241997, -74.102354","
            3.7 miles          ","
            Easy to Moderate          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Appalachian Trail/Long Path Loop from Silvermine Picnic Area,"41.295607, -74.05961","
            7.6 miles          ","
            Moderate to Strenuous          ","
            Views          "
